Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
1754.04,70990,right,1,-27.95539,170.2014,-36.56301,0,0,0,3.129481,-0.1788852,-2.746448,-4.194569,168.005,-95.81516,157.4305,46.8047,-217.8135,0,0.6066576,0.08953832
1754.056,70990,right,1,-27.95539,170.2014,-36.56301,0,0,0,3.129481,-0.1788852,-2.746448,-4.194569,168.005,-95.81516,157.4305,46.8047,-217.8135,0,0.6066576,0.08953832
1754.074,70992,right,1,-31.70945,149.1006,-31.92064,-112.7617,-633.8101,139.4441,-2.949854,-0.07335922,-2.735824,-9.225308,159.7271,-92.06767,134.7096,63.23409,-252.2789,0,0.7341872,0.1917021
1754.09,70994,right,1,-34.27373,135.2202,-28.91065,-98.96885,-535.7192,116.171,-2.749131,0.144799,-2.680594,-9.588813,156.7561,-85.16138,163.3383,109.272,-238.58,0,0.5332976,0.03396904
1754.107,70994,right,1,-34.27373,135.2202,-28.91065,-98.96885,-535.7192,116.171,-2.749131,0.144799,-2.680594,-9.588813,156.7561,-85.16138,163.3383,109.272,-238.58,0,0.5332976,0.03396904
1754.123,70998,right,1,-36.86736,117.4728,-23.80401,-74.94308,-512.8106,147.5565,-2.594137,0.3920932,-2.681084,-12.5592,147.8267,-75.65353,196.0083,161.1765,-185.2764,0,0.5971023,0
1754.14,71000,right,1,-36.52152,111.2271,-26.3235,20.00587,-361.2972,-145.7443,-2.505748,0.5220174,-2.665679,-12.53301,146.6465,-75.04953,200.1504,200.7989,-161.8199,0,0.8017319,0
1754.156,71002,right,1,-36.56299,110.7057,-29.41352,-2.371425,-29.80865,-176.6839,-2.541059,0.652904,-2.686136,-12.99669,145.0036,-79.01521,197.6434,231.9228,-140.4285,0.03156481,0.9404765,0
1754.173,71004,right,1,-34.58501,113.8853,-34.43417,115.106,185.028,-292.1697,-2.518541,0.7416015,-2.692109,-11.58941,149.6964,-83.05184,193.6849,258.5951,-124.2748,0,0.7192798,0
1754.19,71006,right,1,-31.49243,112.4143,-41.39388,176.5978,-83.99505,-397.4253,-2.4778,0.4816052,-2.722112,-10.19675,152.2635,-87.17245,201.9406,252.0054,-114.469,0,0.5766647,0
