Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
271.3936,9004,right,1,56.78746,191.3346,4.981886,2.794582,16.14875,37.46508,0.9684849,-1.898739,-0.3061699,74.9425,130.6712,33.14393,276.7207,-16.10455,46.03074,0,0,0
271.4265,9007,right,1,57.59913,191.9121,7.181012,23.97,17.13199,54.05359,0.9815534,-1.892872,-0.3053265,75.55923,130.8921,34.63033,278.1024,-14.88574,46.82681,0,0,0
271.4409,9007,right,1,57.59913,191.9121,7.181012,23.97,17.13199,54.05359,0.9815534,-1.892872,-0.3053265,75.55923,130.8921,34.63033,278.1024,-14.88574,46.82681,0,0,0
271.4575,9007,right,1,57.59913,191.9121,7.181012,23.97,17.13199,54.05359,0.9815534,-1.892872,-0.3053265,75.55923,130.8921,34.63033,278.1024,-14.88574,46.82681,0,0,0
271.4756,9007,right,1,57.59913,191.9121,7.181012,23.97,17.13199,54.05359,0.9815534,-1.892872,-0.3053265,75.55923,130.8921,34.63033,278.1024,-14.88574,46.82681,0,0,0
271.4937,9010,right,1,58.87927,193.0418,10.72568,24.79546,21.88151,68.65794,1.007579,-1.882024,-0.2901793,75.76141,131.0333,36.69029,274.6855,-19.82419,46.43194,0,0,0
271.5243,9012,right,1,59.6339,193.8001,13.79667,22.0398,23.76954,97.25476,1.033993,-1.87688,-0.2717697,75.34194,130.8116,38.12155,270.7377,-24.83441,42.41745,0,0,0
271.5424,9013,right,1,59.81622,193.7824,15.46343,10.98027,-1.069564,100.383,1.047652,-1.869787,-0.2633513,74.95693,130.3026,38.94456,267.7122,-28.64284,41.27046,0,0,0
271.5662,9015,right,1,60.17503,193.5196,19.00729,10.87448,-16.60868,107.0733,1.074242,-1.853392,-0.2519421,74.35065,129.1094,40.72514,260.8477,-37.11305,37.1736,0,0,0
271.5748,9015,right,1,60.17503,193.5196,19.00729,10.87448,-16.60868,107.0733,1.074242,-1.853392,-0.2519421,74.35065,129.1094,40.72514,260.8477,-37.11305,37.1736,0,0,0
271.5937,9016,right,1,60.42983,192.885,21.06877,15.79365,-39.3351,127.78,1.094129,-1.842909,-0.2430893,73.95583,127.8903,41.52748,257.3678,-41.64412,35.0634,0,0,0
271.6242,9019,right,1,60.95416,191.1008,27.42963,8.437207,-18.75926,133.2186,1.167197,-1.820737,-0.1977757,71.82694,124.2236,43.0771,244.4011,-55.28995,22.66396,0,0,0
271.6414,9019,right,1,60.95416,191.1008,27.42963,8.437207,-18.75926,133.2186,1.167197,-1.820737,-0.1977757,71.82694,124.2236,43.0771,244.4011,-55.28995,22.66396,0,0,0
271.6595,9020,right,1,61.18794,191.5002,29.63739,14.58189,24.91113,137.7092,1.189761,-1.806268,-0.1830199,71.41467,124.1564,43.75478,241.1755,-57.486,19.03751,0,0,0
271.6913,9023,right,1,62.92255,193.8575,37.07276,50.28868,65.93726,168.2894,1.262724,-1.765728,-0.1401211,71.29121,125.332,46.29217,232.094,-62.39408,9.891315,0,0,0
271.7084,9024,right,1,63.80812,195.0826,39.75265,57.66209,79.76556,174.4949,1.287838,-1.748045,-0.1408923,71.87079,126.2713,47.25155,229.5768,-63.15798,6.398158,0,0,0
271.7256,9025,right,1,64.91926,196.4248,42.69712,71.18562,85.98989,188.6388,1.316903,-1.726466,-0.1389728,72.69321,127.3633,48.20461,228.2084,-62.74834,2.419704,0,0,0
271.7587,9027,right,1,67.21555,199.8775,48.4799,87.56686,160.3154,212.521,1.373767,-1.682926,-0.1476235,74.73958,130.553,50.2149,228.6859,-59.17439,-2.012361,0,0.02760845,0
271.7754,9028,right,1,67.87644,202.106,51.14572,47.04507,158.6385,189.7652,1.397682,-1.666134,-0.1444354,75.26756,132.7367,51.32608,229.1649,-56.51231,-2.748652,0,0.08217173,0
271.7934,9030,right,1,70.86597,208.7365,58.21843,125.3991,269.0988,281.5747,1.450064,-1.629753,-0.1950413,78.05334,139.3618,54.98594,228.3278,-51.37265,-3.849673,0,0.1995925,0
271.8246,9033,right,1,75.92426,215.0825,69.24114,190.5057,70.67908,312.3163,1.512835,-1.576453,-0.5091261,83.71194,146.0139,62.01661,232.8063,-44.51023,-0.394017,0,0.4777862,0
271.8416,9034,right,1,77.34571,217.7991,72.76107,111.5647,213.2145,276.2673,1.53574,-1.57086,-0.5988683,84.23433,148.7706,64.1438,228.6282,-45.18835,1.263184,0,0.578944,0.04917991
271.8591,9035,right,1,78.75263,220.9359,76.81841,126.7614,282.6155,365.5596,1.561605,-1.5429,-1.308299,86.02877,152.0939,66.61225,226.0658,-44.76021,2.880578,0,0.6315367,0.1202299
271.8929,9038,right,1,84.81744,228.5066,87.45245,174.239,119.4907,232.122,1.620438,-1.530276,-2.963011,90.52579,160.0914,73.75642,223.8402,-41.81778,11.43793,0.01762257,0.9814394,0.4453848
271.9258,9041,right,1,87.66042,229.8734,93.56218,82.21299,75.5166,207.057,1.656808,-1.510688,-3.083452,92.7698,161.858,77.57271,218.9767,-43.51458,11.86458,0.2092717,1.316157,0.6324965
271.9436,9042,right,1,88.1745,230.414,95.30621,52.51656,55.22371,178.1627,1.664417,-1.505791,-3.080535,93.22411,162.486,78.79177,216.2417,-44.20464,11.19512,0.2532987,1.418345,0.6560785
271.9605,9043,right,1,88.53402,231.4131,97.23376,34.22031,95.09681,183.4709,1.673787,-1.491916,-3.016771,93.80569,163.6121,80.11621,213.3043,-44.63589,11.00403,0.2145583,1.510272,0.6667216
271.9936,9046,right,1,87.90598,231.6601,100.3992,-15.84117,1.17094,112.3959,1.690635,-1.45435,-2.8375,94.1668,164.0954,82.35935,205.7774,-48.70745,13.93668,0.1138854,1.858765,0.5250623
272.0078,9047,right,1,87.61262,231.7324,101.2354,-29.50161,7.269074,84.09398,1.689628,-1.449169,-2.779389,94.30626,164.1454,83.34267,204.1839,-50.18994,16.92782,0.03062248,1.909855,0.5601206
