Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
319.974,13663,right,2,65.47582,200.2937,66.34017,-15.73264,-22.60671,-12.35475,1.467667,-1.599774,-0.3241234,74.01514,131.7567,61.82312,230.5826,-49.63374,-1.349181,0,0,0
319.974,13663,left,2,-76.10414,209.6663,116.9592,14.72792,15.8322,-34.37693,1.494508,1.445998,1.047488,-92.04166,141.7578,114.9179,-209.4108,-75.68595,133.6072,0,0.04076313,0
320.0064,13664,right,2,65.0166,199.8792,66.0209,-22.60296,-20.39949,-15.71495,1.463106,-1.597554,-0.3537776,73.98816,131.3971,61.8649,233.3064,-48.28013,0.7064152,0,0,0
320.0064,13664,left,2,-75.74319,210.0334,116.573,17.76566,18.06912,-19.0078,1.49489,1.444445,1.052971,-91.65141,142.1105,114.6187,-205.8378,-76.82155,135.5182,0,0.02392053,0
320.0234,13665,right,2,64.51151,199.2715,65.65836,-24.82619,-29.87027,-17.81959,1.457677,-1.594448,-0.3924302,73.98602,130.8514,61.89133,235.6332,-47.2149,2.14899,0,0,0
320.0234,13665,left,2,-75.34523,210.3301,116.3147,19.56082,14.58056,-12.69786,1.495395,1.444643,1.053722,-91.13803,142.3805,114.4651,-202.5999,-77.65703,138.2627,0,0.02198733,0
320.0406,13666,right,2,63.89525,198.632,65.22548,-29.4046,-30.51243,-20.65457,1.452638,-1.590114,-0.4311944,73.88306,130.2676,61.80866,236.9337,-46.87573,3.145974,0,0,0
320.0406,13666,left,2,-74.94104,210.2408,116.1459,19.28556,-4.260931,-8.055891,1.494921,1.444527,1.051288,-90.71562,142.2922,114.4262,-201.4672,-77.82656,140.6636,0,0.03249321,0
320.0559,13666,right,2,63.89525,198.632,65.22548,-29.4046,-30.51243,-20.65457,1.452638,-1.590114,-0.4311944,73.88306,130.2676,61.80866,236.9337,-46.87573,3.145974,0,0,0
320.0559,13666,left,2,-74.94104,210.2408,116.1459,19.28556,-4.260931,-8.055891,1.494921,1.444527,1.051288,-90.71562,142.2922,114.4262,-201.4672,-77.82656,140.6636,0,0.03249321,0
320.0744,13667,right,2,63.39855,198.063,64.75197,-25.06046,-28.711,-23.8904,1.44828,-1.586809,-0.4596418,73.76786,129.7328,61.63959,237.274,-47.30204,3.924797,0,0,0
320.0744,13667,left,2,-74.70193,209.8732,116.1242,12.06397,-18.54419,-1.089947,1.492743,1.443158,1.045069,-90.61861,141.9624,114.5699,-202.8106,-77.27635,142.0269,0,0.05057545,0
320.0905,13668,right,2,62.96284,197.3046,64.14495,-22.45014,-39.07213,-31.27651,1.44561,-1.587069,-0.4617295,73.39034,128.9626,61.25139,236.4076,-48.93693,4.82683,0,0,0
320.0905,13668,left,2,-74.52584,209.6228,116.1271,9.073328,-12.9023,0.1480587,1.491595,1.442988,1.03975,-90.53266,141.7417,114.6873,-204.4959,-76.4309,143.3179,0,0.05822605,0
320.1069,13669,right,2,62.58104,196.3751,63.35745,-19.23881,-46.83929,-39.68261,1.442157,-1.589752,-0.4492261,72.92468,127.9951,60.73903,234.8915,-51.31989,5.789431,0,0,0
